service_id,date,exception_type
4503599630773886,20140421,2
4503599630773886,20140501,2
4503599630773886,20140508,2
4503599630773886,20140529,2
4503599630773886,20140609,2
4503599630773886,20140714,2
4503599630773886,20140815,2
4503599630773892,20140421,2
4503599630773892,20140501,2
4503599630773892,20140508,2
4503599630773892,20140529,2
4503599630773892,20140609,2
4503599630773892,20140714,2
4503599630773892,20140815,2
4503599630773892,20140906,2
4503599630773892,20140913,2
4503599630773892,20140920,2
4503599630773892,20140927,2
4503599630773892,20141004,2
4503599630773892,20141011,2
4503599630773892,20141018,2
4503599630773892,20141025,2
4503599630773892,20141101,2
4503599630773892,20141108,2
4503599630773892,20141111,2
4503599630773892,20141115,2
4503599630773892,20141122,2
4503599630773892,20141129,2
4503599630773892,20141206,2
4503599630773892,20141213,2
4503599630773892,20141220,2
4503599630773892,20141227,2
4503599630773892,20150101,2
4503599630773892,20150103,2
4503599630773892,20150110,2
4503599630773892,20150117,2
4503599630773892,20150124,2
4503599630773892,20150131,2
4503599630773892,20150207,2
4503599630773892,20150214,2
4503599630773892,20150221,2
4503599630773892,20150228,2
4503599630773892,20150307,2
4503599630773892,20150314,2
4503599630773892,20150321,2
4503599630773892,20150328,2
4503599630773892,20150404,2
4503599630773892,20150406,2
4503599630773892,20150411,2
4503599630773892,20150418,2
4503599630773892,20150425,2
4503599630773892,20150501,2
4503599630773892,20150502,2
4503599630773892,20150508,2
4503599630773892,20150509,2
4503599630773892,20150514,2
4503599630773892,20150516,2
4503599630773892,20150523,2
4503599630773892,20150525,2
4503599630773892,20150530,2
4503599630773892,20150606,2
4503599630773892,20150613,2
4503599630773892,20150620,2
4503599630773892,20150627,2
4503599630773892,20150704,2
4503599630773892,20150711,2
4503599630773892,20150714,2
4503599630773892,20150718,2
4503599630773892,20150725,2
4503599630773892,20150801,2
4503599630773892,20150808,2
4503599630773892,20150815,2
4503599630773892,20150822,2
4503599630773892,20150829,2
4503599630773892,20150905,2
4503599630773892,20150912,2
4503599630773892,20150919,2
